gender,monthly_income,utility_bill_average,repayment_history_pct,employment_length,default_status
Non-Binary,69098,2367.0,100.0,< 1 year,0
Female,60563,2481.0,,4-7 years,0
Non-Binary,44428,2047.0,66.0,4-7 years,0
Male,76230,2242.0,,< 1 year,0
Male,74819,2417.0,99.0,< 1 year,0
Non-Binary,38444,2759.0,51.0,4-7 years,1
Non-Binary,69815,2178.0,85.0,< 1 year,0
Male,65069,1423.0,77.0,8+ years,0
Non-Binary,81083,3322.0,48.0,8+ years,0
Female,49207,2891.0,87.0,1-3 years,0
Non-Binary,68645,2718.0,88.0,8+ years,0
Non-Binary,50010,1720.0,97.0,8+ years,0
Male,50194,,73.0,8+ years,0
Female,38576,2427.0,81.0,8+ years,0
Female,47285,2151.0,90.0,4-7 years,0
Non-Binary,63082,2992.0,56.0,< 1 year,0
Male,68289,3027.0,,4-7 years,0
Female,49407,3970.0,70.0,8+ years,1
Female,40808,991.0,,8+ years,0
Non-Binary,36194,1645.0,94.0,< 1 year,0
Female,65527,3087.0,62.0,< 1 year,1
Female,45840,3429.0,56.0,4-7 years,1
Female,47860,2712.0,87.0,< 1 year,0
Female,47274,3300.0,20.0,< 1 year,1
Non-Binary,62168,3679.0,67.0,8+ years,0
Female,43350,3262.0,100.0,< 1 year,0
Male,71723,1688.0,90.0,4-7 years,0
Non-Binary,48309,1825.0,100.0,8+ years,0
Non-Binary,49361,3683.0,87.0,8+ years,0
Male,42660,2655.0,60.0,1-3 years,1
Female,29159,2323.0,33.0,1-3 years,1
Female,26943,3108.0,,8+ years,1
Non-Binary,30136,3367.0,63.0,8+ years,1
Male,23872,2592.0,71.0,< 1 year,1
Non-Binary,62070,1791.0,80.0,1-3 years,0
Non-Binary,68140,2517.0,100.0,1-3 years,0
Female,44272,2180.0,61.0,< 1 year,0
Non-Binary,24952,1232.0,80.0,8+ years,0
Male,59630,3236.0,64.0,1-3 years,0
Male,44754,2617.0,100.0,8+ years,0
Male,65452,1834.0,30.0,1-3 years,1
Female,42466,,72.0,4-7 years,0
Non-Binary,53152,2909.0,71.0,4-7 years,0
Female,31915,3628.0,73.0,8+ years,0
Female,45226,2665.0,90.0,1-3 years,0
Female,37650,2789.0,52.0,1-3 years,1
Female,46302,1142.0,62.0,1-3 years,0
Non-Binary,43769,2574.0,78.0,1-3 years,0
Male,36584,3184.0,100.0,4-7 years,0
Female,37245,3920.0,51.0,4-7 years,1
Non-Binary,65787,2287.0,100.0,4-7 years,0
Male,56330,2708.0,72.0,4-7 years,0
Non-Binary,64162,1031.0,98.0,4-7 years,0
Non-Binary,67488,3401.0,53.0,8+ years,1
Male,45837,,66.0,8+ years,1
Non-Binary,71654,3616.0,63.0,8+ years,0
Female,42489,3388.0,51.0,4-7 years,1
Non-Binary,33484,2026.0,74.0,8+ years,0
Female,48361,2463.0,52.0,4-7 years,1
Male,60194,,66.0,1-3 years,1
Non-Binary,50355,1621.0,,8+ years,1
Male,48118,3778.0,86.0,8+ years,0
Male,47567,2425.0,79.0,4-7 years,0
Non-Binary,69596,2795.0,72.0,8+ years,0
Non-Binary,58715,2923.0,34.0,8+ years,1
Female,65790,4285.0,87.0,1-3 years,0
Female,51010,1649.0,57.0,< 1 year,0
Male,49477,2122.0,35.0,4-7 years,1
Male,63218,2362.0,52.0,8+ years,1
Male,15000,2271.0,97.0,8+ years,0
Male,81375,2141.0,49.0,1-3 years,1
Female,76732,1297.0,80.0,1-3 years,0
Male,59015,2210.0,80.0,8+ years,0
Female,52458,,82.0,4-7 years,0
Non-Binary,51561,2704.0,95.0,8+ years,0
Non-Binary,38414,1976.0,63.0,< 1 year,0
Female,61493,4672.0,69.0,8+ years,0
Female,44341,2728.0,85.0,8+ years,0
Non-Binary,61678,3432.0,70.0,< 1 year,0
Non-Binary,60903,500.0,88.0,< 1 year,1
Male,54921,4065.0,70.0,4-7 years,0
Male,40406,2825.0,55.0,< 1 year,0
Female,28444,1784.0,61.0,< 1 year,0
Non-Binary,66296,2910.0,89.0,< 1 year,0
Female,51194,2837.0,63.0,1-3 years,0
Non-Binary,69833,3066.0,82.0,4-7 years,0
Male,68052,1843.0,74.0,< 1 year,0
Female,36897,2384.0,59.0,< 1 year,0
Female,41304,2524.0,87.0,4-7 years,0
Female,45014,,88.0,8+ years,0
Male,66063,2370.0,60.0,1-3 years,0
Non-Binary,40462,1748.0,91.0,8+ years,0
Non-Binary,49092,,72.0,1-3 years,0
Male,52898,2721.0,100.0,1-3 years,0
Male,32367,2506.0,95.0,8+ years,0
Non-Binary,79007,3491.0,79.0,1-3 years,0
Female,39100,,86.0,1-3 years,0
Male,67903,4707.0,82.0,8+ years,0
Non-Binary,44365,1033.0,74.0,4-7 years,0
Female,38710,2621.0,58.0,4-7 years,1
Non-Binary,68815,1999.0,75.0,< 1 year,0
Female,41065,2624.0,91.0,4-7 years,0
Non-Binary,38993,2281.0,59.0,1-3 years,1
Male,44856,3199.0,80.0,8+ years,0
Female,47323,2318.0,90.0,4-7 years,0
Non-Binary,55980,2033.0,26.0,8+ years,1
Non-Binary,49985,2917.0,58.0,4-7 years,1
Female,46063,,62.0,4-7 years,0
Male,47258,,77.0,8+ years,0
Female,45006,,46.0,< 1 year,1
Male,17557,1376.0,46.0,8+ years,1
Non-Binary,45201,3661.0,81.0,4-7 years,0
Non-Binary,56507,2203.0,100.0,4-7 years,0
Non-Binary,62057,1642.0,,4-7 years,1
Male,64268,3519.0,91.0,8+ years,0
Female,30727,3814.0,56.0,< 1 year,0
Non-Binary,61575,1797.0,46.0,< 1 year,1
Non-Binary,52613,1698.0,89.0,8+ years,1
Female,38841,1279.0,52.0,1-3 years,1
Non-Binary,48571,1704.0,23.0,4-7 years,1
Male,49134,2438.0,75.0,1-3 years,0
Non-Binary,52336,2937.0,51.0,4-7 years,0
Non-Binary,68714,,100.0,1-3 years,0
Non-Binary,62092,2973.0,67.0,< 1 year,1
Non-Binary,43395,3284.0,60.0,< 1 year,1
Female,30130,1325.0,,8+ years,0
Male,52763,3036.0,88.0,4-7 years,0
Non-Binary,27986,1837.0,72.0,1-3 years,0
Male,27352,1943.0,,4-7 years,0
Female,45250,2684.0,49.0,8+ years,1
Male,42754,,55.0,1-3 years,0
Male,35328,2697.0,84.0,4-7 years,0
Non-Binary,69102,1563.0,91.0,4-7 years,0
Male,48489,2873.0,94.0,4-7 years,0
Female,44088,1628.0,71.0,4-7 years,0
Non-Binary,27885,2647.0,100.0,4-7 years,0
Male,52101,3173.0,62.0,8+ years,1
Male,18822,,46.0,1-3 years,1
Male,48000,2858.0,82.0,8+ years,0
Non-Binary,28028,,100.0,4-7 years,0
Male,31552,2630.0,75.0,8+ years,0
Male,58388,2515.0,62.0,4-7 years,0
Non-Binary,59318,1730.0,91.0,< 1 year,0
Female,33522,2877.0,100.0,4-7 years,0
Non-Binary,57334,2994.0,70.0,4-7 years,0
Non-Binary,33243,2983.0,92.0,8+ years,0
Non-Binary,45218,2376.0,57.0,4-7 years,1
Male,83495,2302.0,67.0,1-3 years,0
Female,37229,,42.0,< 1 year,0
Non-Binary,24001,3306.0,61.0,4-7 years,1
Non-Binary,63859,3602.0,50.0,1-3 years,1
Non-Binary,52214,1736.0,66.0,< 1 year,0
Non-Binary,62294,1267.0,100.0,8+ years,0
Non-Binary,76258,2583.0,57.0,4-7 years,0
Non-Binary,32045,3628.0,66.0,8+ years,1
